id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,74,AKTIVITAS PROFESIONAL LAINNYA,84.0,USAHA,2024
152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,75,AKTIVITAS KESEHATAN HEWAN,0.0,USAHA,2024
153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,77,PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI,69.0,USAHA,2024
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78,AKTIVITAS KETENAGAKERJAAN,0.0,USAHA,2024
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79,AGEN PERJALANAN DAN PENUNJANG WISATA LAINNYA,23.0,USAHA,2024
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,80,AKTIVITAS KEAMANAN DAN PENYELIDIKAN,0.0,USAHA,2024
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,81,JASA KEBERSIHAN DAN PERTAMANAN,12.0,USAHA,2024
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,82,AKTIVITAS PENYELENGGARAAN KANTOR DAN CALL CENTER,17.0,USAHA,2024
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,84,"ADMINISTRASI PEMERINTAH, PETAHANAN DAN JAMINAN SOSIAL WAJIB",0.0,USAHA,2024
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,85,PENDIDIKAN,0.0,USAHA,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,86,AKTIVITAS KESEHATAN MANUSIA,0.0,USAHA,2024
162,32,JAWA BARAT,3278,KOTA TASIKMALAYA,87,AKTIVITAS SOSIAL DI DALAM PANTI,0.0,USAHA,2024
163,32,JAWA BARAT,3278,KOTA TASIKMALAYA,88,AKTIVITAS SOSIAL TANPA AKOMODASI,0.0,USAHA,2024
164,32,JAWA BARAT,3278,KOTA TASIKMALAYA,90,"AKTIVITAS KESENIAN, HIBURAN, DAN KREATIVITAS",11.0,USAHA,2024
165,32,JAWA BARAT,3278,KOTA TASIKMALAYA,91,"PERPUSTAKAAN, ARSIP, MUSEUM, DAN KEGIATAN KEBUDAYAAN LAINNYA",0.0,USAHA,2024
166,32,JAWA BARAT,3278,KOTA TASIKMALAYA,93,"AKTIVITAS OLAHRAGA, HIBURAN, DAN REKREASI",4.0,USAHA,2024
167,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94,AKTIVITAS KEANGGOTAAN ORGANISASI,0.0,USAHA,2024
168,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95,PERBAIKAN KOMPUTER DAN BARANG PRIBADI,108.0,USAHA,2024
169,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96,AKTIVITAS JASA LAINNYA,360.0,USAHA,2024
170,32,JAWA BARAT,3278,KOTA TASIKMALAYA,97,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA,6.0,USAHA,2024
171,32,JAWA BARAT,3278,KOTA TASIKMALAYA,98,AKTIVITAS YANG MENGHASILKAN BARANG DAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI,0.0,USAHA,2024
172,32,JAWA BARAT,3278,KOTA TASIKMALAYA,99,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA,0.0,USAHA,2024
